X,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
951,3,82590,5,60110,2.51,2.18,93.98,2.84,3.15,11.46,21.5,10.78,18.84,60110,100,49642,75.2,0.8,67.47,35.33,3.78,21.73,60518,26943,27601,14532,14196,18908,10423,15557,2103,3.63,5.83,12.68,46.63,3.96,60.22,11.37,33.34,6.06,45.54,5.17,28.73,8.81,7.19,2.96,83.38,82.81,94.15,80.71,61.15,71.63,460,1.04,7424,13.81,18.14,22.8,26.33,1.71,2.24,2.82,3.25,84.41,2.32,3.11,2.13,2.41,2.58,1.96,78.64,0.91,36.19,3,1105,95.58,73.68,0.36,23.35,1951,0.28,0.08,166100,203300,267100,101000,509,618,739,230,687,26.7,20.5,13.7,0,0,12.35,53.65,63.32,85.68,89.15,123,204.39,120,199.4,82902,137756.7,674,204.4,97.79,95.12,3.25,1.63,0,4.88,5,9,634.7,22.8,2639.6,4.26,31,10322442,97.56,10,4.07,171526.09,1,1.66,1,1.66,78,129.61,56,93.05,580,963.78,0,213,353.94,9,14.96,225.99,3845.13
1313,59,39225,6,80352,2.69,6.39,89.78,0.56,5.89,14.34,27.95,13.49,11.95,80375,100,27770,76.04,0.28,45.85,30.2,9.97,20.42,32883,12284,12919,6039,12518,15147,5122,5847,9923,12.73,9.18,26.84,12.18,7.8,59.77,27.65,22.83,18.77,19.77,10.4,31.4,13.36,11.97,3.15,68.34,65.57,76.39,74.75,62.61,70.24,2626,4.12,4030,9.35,14.19,18.51,22.11,0.47,0.71,0.93,1.11,89.51,1.5,5.38,3.79,2.61,2.78,2.32,66.18,3.16,49.94,3,1278,95.9,61.99,2.74,28.48,1954,4.39,0.3,47100,58700,73000,25900,262,338,415,153,400,25.4,19.4,13,61,0,5.01,65.34,53.32,83,87.28,160,186.46,152,177.14,76544,89203.8,478.4,186.5,93,88.95,1.16,2.33,0.58,4.07,8,6,52.5,22.3,3599.2,1.99,70,8928586,95,5,5,104053.1,8,9.32,53,61.77,129,150.34,270,314.66,859,1001.07,1,312,363.6,33,38.46,536.08,5063.63
667,113,21000,4,182044,2.51,40.43,58.37,0.64,0.74,15.22,29.63,15.68,12.01,182044,100,19779,69.08,0.34,27.28,28.83,15.5,19.55,24819,9946,11312,8015,10592,9861,5529,9876,46480,26.53,10.74,31.66,12.29,10.39,51.62,18.62,25.98,17.69,21.74,15.52,38.43,19.24,17.53,3.1,49.22,43.22,51.14,48.38,49.49,58.68,15663,10.87,2606,12.24,18,29.36,35.99,0.18,0.26,0.42,0.52,96.11,0.37,6.17,3.98,2.41,2.47,2.35,52.22,2.96,54.84,2,7700,90.42,50.98,14.44,48.9,1946,8.83,0.55,31800,43200,56200,24400,172,253,321,149,329,29.3,17.8,13.7,406,5,1.43,67.44,51.74,85.18,91.36,506,282.17,396,220.83,213229,118905.1,421.4,282.2,75.77,82.61,16.8,0.4,0.2,17.19,12,12,256,57,3194.8,7.48,270,31776600,78.26,0,2.37,177199.2,49,27.32,269,150.01,1475,822.52,1129,629.58,4303,2399.53,1,2939,1638.91,260,144.99,1629.43,9465.95
1100,1,83500,5,24410,2.63,1.07,96.97,1.63,2.24,11.25,19.84,9.77,12.35,24424,100,81957,82.81,1.06,74.58,23.49,1.95,14.73,95791,45640,46184,45011,24087,23289,15227,23254,762,3.15,2.02,6.95,60.51,3.17,66.91,13.33,29.49,2.22,54.52,6.97,26.41,10.73,8.95,2.96,86.02,84.73,96.56,80.43,49.42,59.59,49,0.29,2974,19.8,27.34,36.21,42.91,2.41,3.33,4.41,5.23,89.29,0.82,2.83,2.19,2.6,2.67,2.27,85.01,0.41,19.54,4,565,94.26,82.82,0.71,45.13,1956,0.38,0.28,318300,422400,500001,181701,620,995,1001,381,1001,24.8,22,14,17,1,12.18,25.33,59.67,76.59,77.06,65,262.32,54,217.93,26002,104935.6,400,262.3,58.03,57.14,0,0.89,0,0.89,2,5,239.9,20.7,1177.6,17.48,26,3702747,83.08,10,3.08,149430.8,0,0,0,0,23,92.82,7,28.25,173,698.17,0,79,318.82,3,12.11,121.07,3285.04
511,700,56000,3,170045,2.66,33.57,62.58,2.33,2.77,13.82,31.25,14.76,8.59,170045,100,27469,82.66,0.3,32.82,19.97,7.74,17.48,31180,12711,15351,8154,11662,8806,9760,9523,23169,14.04,6.89,20.66,18.44,5.93,65.93,20.19,21.72,13.07,26.41,10.56,29.87,14.95,12.83,3.08,68.16,64.41,76.03,69.14,58.43,66.56,7374,6.41,6932,12.97,21.49,31.06,39.27,0.53,0.88,1.27,1.6,93.02,0.79,3.94,2.83,2.59,2.69,2.49,51.93,3.58,47.5,3,5776,91.72,50.03,3.83,33.24,1969,7.26,0.31,68000,85200,103800,35800,282,368,454,172,439,26.2,22.7,13,96,39,4.08,46.43,41.39,62.84,75.27,263,145.36,236,130.44,121431,67114.9,461.7,145.4,79.69,82.89,15.97,0.76,0.38,17.11,21,9,54.9,70.8,2401.8,2.9,194,14212889,89.73,10,7.98,78554.6,22,12.16,103,56.93,71,39.24,1334,737.3,2101,1161.22,1,684,378.05,63,34.82,845.63,5590.56
805,1,18500,4,65585,2.72,6.57,86.75,3.94,7.69,13.01,28.95,13.89,10.16,65585,100,43832,83.63,0.4,49.41,23.55,3.98,14.1,51144,19300,20370,13148,15530,12004,9045,10780,3599,5.76,10.08,23.53,26.92,5.4,67.83,26.36,21.14,13.42,30.5,8.75,34.16,11.04,9.92,3.16,78.27,74.79,86,84.1,60.18,69.09,1272,2.97,9838,17.87,30.54,38.32,48.44,2.68,4.58,5.75,7.27,79.61,4.76,5.28,3.68,2.6,2.74,2.39,63.38,4.06,49.73,3,1856,92.85,60.09,1.19,37.28,1964,2.26,0.66,156600,190300,238800,82200,425,589,729,304,693,26.5,24,14.5,65,41,15,43.88,52.6,76.88,79.44,135,208.74,105,162.35,106698,164975.59,790.4,208.7,74.59,68.51,3.87,2.21,0,5.52,28,10,161.9,43.6,1502.8,2.4,54,13416895,77.78,0,20.74,207451,1,1.55,12,18.55,71,109.78,88,136.06,546,844.22,1,401,620.02,12,18.55,265.95,5201.39
153,23,51210,1,41711,3.28,29.58,57.37,3.96,19.33,29.2,49.87,35.94,8.48,41711,100,28289,78.65,0.72,33.31,25,10.16,11.84,32966,11252,12735,9591,12237,9675,7729,7647,7561,21.96,15.92,34,23.41,8.85,57.84,15.94,32.03,15.01,23.85,7.62,61.76,9.73,8.74,3.25,50.14,42.94,59.12,44.96,67.51,73.06,2757,12.96,6989,24.7,37.73,50.91,63.13,4.14,6.32,8.53,10.58,72.41,7.03,10.59,6.86,2.7,2.71,2.69,32.54,10.53,65.85,2,845,93.77,32.33,7.46,31.01,1949,8.98,1.69,95600,126700,157000,61400,407,569,723,316,640,29.9,28,18.9,105,17,16.76,50.29,38.48,60.05,83.44,124,298.94,114,274.83,50000,120540,403.2,298.9,74.3,83.06,10.48,4.84,1.61,16.94,6,11,77.4,5.4,7709.4,12.35,49,6741975,91.94,0,4.84,162535.59,5,12.05,18,43.39,311,749.76,289,696.72,797,1921.41,1,337,812.44,19,45.81,1501.93,7502.41
735,770,68000,4,96397,2.35,24.27,74.59,0.74,0.69,11.78,25.45,12.17,15,96397,100,22591,73.4,0.51,32.62,32.93,8.82,15.96,28203,12513,14061,7949,9191,8480,4200,8192,15238,16.08,13.56,32.03,15.65,5.47,58.89,16.36,22.75,17.62,20.81,13.47,30.1,16.44,15.09,2.91,60.93,55.91,70.25,64.43,61.53,69.6,4860,6.48,1515,18.68,26.14,32.21,39.27,0.29,0.41,0.51,0.62,96.45,0.6,3.82,2.42,2.3,2.42,2.15,59.41,2.04,49.65,3,3354,92.44,56.63,4.5,34.62,1956,8.47,0.42,40000,54000,72600,32600,210,278,349,139,336,24.3,18.8,12.7,285,15,1.57,73.5,53.69,78.16,90.25,242,247.91,223,228.45,91565,93801.2,378.4,247.9,78.28,86.52,3,1.12,0,4.12,14,14,83.7,44.4,2168.8,2.96,87,9162440,92.15,0,5.79,93862.1,11,11.27,32,32.78,217,222.3,305,312.45,118,120.88,1,315,322.69,57,58.39,578.8,5007.38
343,29,11000,2,328123,2.4,30.65,64.75,0.99,4.92,14.22,29.24,15.1,13.29,328123,100,18482,66.5,0.45,32.46,30.98,18.69,17.32,23887,10445,12025,7727,7533,10150,4915,5442,81601,25.62,12.42,32.71,16.05,11.58,51.28,16.18,31.37,16.9,23.38,11.35,43.67,14.3,12.96,3.07,49.18,47.75,55.85,51.55,51.28,60.14,26762,10.52,14741,14.14,18.49,24.04,28.08,0.64,0.83,1.08,1.26,87.64,1.91,5.41,3.18,2.33,2.57,2.15,47.48,2.14,45.13,3,15535,89.78,43.14,11.36,51.63,1939,9.08,0.52,32100,46700,68200,36100,194,255,327,133,352,31.8,17.9,14.2,284,5,4.49,76.12,55.86,89.84,94.33,1032,330.35,968,309.86,547674,175314.59,530.7,330.4,88.85,74.32,19.19,6.01,0,24.22,33,12,25.2,42.1,7798.2,13.43,239,93674080,93.8,5,3.2,299857.81,76,24.33,295,94.43,2898,927.67,2772,887.34,7597,2431.86,1,5519,1766.67,434,138.93,1933.77,8407.3
1219,7,59000,6,160728,2.73,14.83,69.93,5.94,15.54,18.71,34.52,20.6,11.91,160728,100,22147,70.69,0.64,33.3,27.42,16.33,13.6,28342,11838,13884,7728,7743,5782,6551,6750,34120,22.96,16.42,37.24,21.63,9.18,54.98,24.14,29.13,18.27,25.5,8.88,47.78,13.54,11.37,3.23,54.32,50.04,59.15,55.78,52.4,60.15,10047,9.23,31532,22.29,35.58,47.3,58.19,4.37,6.98,9.28,11.42,69.54,8.58,8.14,5.05,2.52,2.71,2.42,38.84,6.01,61.38,2,7889,88.19,36.15,7.61,34.39,1939,7.57,0.96,87300,113000,150000,62700,266,389,492,226,469,30.2,22.1,14.3,240,43,19.62,50.63,45.16,72.67,75.39,440,293.72,370,246.99,4.00E+05,267013.81,909.1,293.7,74.93,95,5,0,0,5,33,2,155.5,19.1,8403.8,7.61,190,16500000,84.09,10,7.5,110143.2,22,14.69,114,76.1,636,424.55,601,401.19,4240,2830.35,1,3116,2080.04,384,256.33,916.52,9460.97
1197,17,33012,6,61368,2.56,7.32,91.93,0.39,0.5,13.38,26.52,12.38,12.76,61368,100,22886,71.47,0.22,35.15,30.75,10.72,18.67,28117,11108,11552,5988,9164,8027,4461,5917,10179,16.84,12.14,33.44,9.9,7.94,54.73,23.37,20.11,19.64,18.48,12.24,24.67,16.13,14.36,3.07,67.6,63.91,75.26,70.47,59.47,64.81,1713,3.33,406,17.49,22.41,22.41,27.34,0.12,0.15,0.15,0.18,98.03,0.25,4.14,2.93,2.52,2.6,2.41,62.35,2.57,53.3,2,1370,94.6,60.5,10.36,44.01,1950,6.79,0.26,41400,53700,69300,27900,222,286,346,124,363,27.9,18.1,12.4,73,0,0.66,72.06,53.36,88.64,93.67,105,161.05,90,138.04,64812,99408,617.3,161,96.76,90.65,5.61,1.87,0,7.48,20,6,122.8,20.7,2966.4,1.53,36,7375477,85.71,0,19.05,113124.3,6,9.2,81,124.24,246,377.31,601,921.81,1152,1766.93,1,398,610.45,49,75.16,1432.56,6883.65
553,31,57000,3,140891,3.21,36.01,41.15,1.44,40.96,16.36,31.29,15.64,8.77,140891,100,26960,78.86,0.42,24.39,24.22,13.05,11.16,30145,10518,12273,9901,8640,10680,8160,8362,25677,18.54,22.45,45.12,8.71,11.04,59.88,29.5,19.19,28.8,14.08,10.4,42.05,14.73,12.67,3.63,55.05,47.23,66.38,56.74,61.01,67.56,14804,13.92,35355,16.58,28.56,40.54,53,4.16,7.17,10.17,13.3,50.16,14.47,14.25,10.68,3.14,3.36,3.03,36,14.33,65.12,2,2192,95.25,33.62,5.75,38.05,1948,11.33,1.17,100100,138700,170300,70200,324,444,554,230,524,28.4,24.2,18.1,252,94,25.09,46.96,54.62,86.17,89.55,352,253.22,314,225.89,109422,78716.9,310.9,253.2,67.85,73.01,14.77,11.65,0.28,26.7,36,11,71,8.7,16110.7,10.55,111,13726580,89.2,0,10.23,98747.4,23,16.55,78,56.11,1089,783.41,994,715.07,3260,2345.21,0,1823,1311.44,113,81.29,1571.14,6672.33
1783,510,1000,9,111183,2.09,21.89,69.07,4.17,9.69,8.3,30.47,12.81,9.02,111183,100,41472,86.8,0.58,50.03,13.5,3.06,13.91,50812,25509,30740,13798,22573,16351,10647,12435,7732,7.09,6,13.09,48.55,3.5,76.42,4.36,28.44,5.46,47.71,12.82,42.34,15.93,14.47,2.83,65.23,60.72,77.59,61.34,69.69,76.46,4158,7.23,17998,27.26,41.56,55.32,66.07,4.41,6.73,8.96,10.69,81.13,4.98,4.71,2.22,2.04,2.09,2.01,41.45,5,71.17,2,4972,91.46,40.48,0.58,10.12,1963,2.21,0.34,161400,228600,327700,166300,570,667,825,255,701,25.4,22.2,12,381,2,16.19,22.05,36.8,54.42,66.59,257,225.41,225,197.34,78100,68499.8,303.9,225.4,83.86,84.44,12.06,1.56,1.17,14.79,26,9,219.6,15.8,7028,18.15,134,21941084,87.55,0,10.12,192440.3,9,7.89,33,28.94,376,329.78,334,292.94,921,807.79,1,969,849.89,31,27.19,659.56,6668.42
369,1,33620,2,58441,2.63,2.13,93.26,3.49,4.42,11.18,22.08,10.5,14.2,50576,86.54,65072,80.52,1.14,66.96,28.24,2.38,17.19,80558,46070,47531,12000,354,35788,9591,21643,1743,3.02,4.43,11.26,48.97,3.8,61.99,11,27.4,4.54,45.91,6.28,28.94,8.98,7.73,3.05,84.46,83.61,96.11,84,39.2,51,425,1.03,10199,26.59,32.92,39.65,45.32,4.64,5.75,6.92,7.91,82.25,2.6,4.45,3.2,2.6,2.76,2.26,72.03,1.34,32.15,3,1323,94.37,67.81,0.83,45.05,1952,0.98,0.33,349200,500001,500001,150801,577,875,1001,424,951,24.8,20.6,13.2,75,3,17.45,31.27,59.84,78.39,79.03,158,266.31,140,235.97,38325,64597.4,242.6,266.3,87.93,85.23,3.98,0.57,0,4.55,2,4,91.8,49.6,1178.4,15.77,36,9566593,88.61,0,1.27,161246.5,1,1.69,0,0,18,30.34,12,20.23,189,318.56,0,141,237.66,6,10.11,52.25,2326.01
390,13,47500,2,37729,2.6,31,65.5,2.27,3.31,11.66,24.26,11.46,12.82,37729,100,52442,81.59,0.79,54.17,27.42,3.42,15.01,65842,28940,35800,15315,14554,29142,12375,16000,2223,6.03,4.26,13.03,49.32,5.41,67.38,11.44,34.44,6.51,47.81,8.2,35.32,12.41,10.52,3.11,73.15,71.24,89.87,73.25,70.25,74.62,990,4.1,4179,14.17,24.19,33.05,39.34,1.57,2.68,3.66,4.36,89,0.77,5.91,3.88,2.52,2.92,2.02,64.67,2.05,45.86,3,551,96.34,55.85,3.63,43.92,1939,1.02,0.27,208200,271700,371800,163600,525,670,859,334,741,26.6,23.1,17.6,20,3,11.08,46.31,57.71,79.98,86.97,98,255.89,94,245.45,35000,91391,357.1,255.9,84.89,80.61,19.39,0,0,19.39,4,4,142.9,6.5,5776.7,19.72,24,4288914,95.92,0,4.08,111990.9,0,0,7,18.28,70,182.78,118,308.12,588,1535.37,1,432,1128.03,5,13.06,509.18,6256.36
822,17,11000,4,95802,2.43,13.5,75.28,8.44,6.79,16.46,37.35,21.42,9.16,95802,100,33140,80.86,0.71,52.67,17.64,6.43,10.2,39990,19879,22936,10552,12483,11408,8129,10499,8794,10.7,7.09,15.65,54.17,5.15,64.75,9.69,51.36,6.03,46.98,7.59,57,11.31,9.51,2.9,63.59,60.94,78.17,61.21,62.62,71.3,2504,5.54,21350,25.41,35.92,47.21,55.56,5.66,8.01,10.52,12.38,73.84,4.21,4.33,2.06,2.08,2.27,1.99,33.22,4.15,72.41,2,2574,93.87,30.35,3.65,38.54,1939,1.53,0.41,184000,263800,440800,256800,319,483,689,370,538,24.3,21.3,13.8,252,33,22.29,39.59,42.92,62.42,69.9,271,288.76,231,246.14,101658,108319.7,375.1,288.8,89.52,82.29,16.97,0.74,0,17.71,11,9,135.3,6.7,14370.9,24.42,48,18152850,85.24,5,4.06,193424.09,2,2.13,27,28.77,253,269.58,643,685.14,929,989.88,1,968,1031.43,21,22.38,985.62,5843.37
293,7,54640,2,72644,2.45,3.59,89.25,0.65,7.17,12.3,27.25,12.76,14.64,72644,100,26541,75.26,0.38,36.94,31.21,8.73,15.54,33679,12865,13432,8317,9445,7873,8015,8388,7632,10.59,16.58,38.37,13.06,7.98,63.08,34.24,18.49,24.48,18.51,9.85,32.3,12.85,11.47,3.06,68.65,66.06,75.72,74.32,66.15,75.63,1923,3.56,12868,11.7,20.31,27.7,34.73,2.07,3.6,4.91,6.15,71.6,7.46,4.17,2.73,2.42,2.67,2.22,50.5,2.86,57.32,2,1904,93.98,45.84,3.52,38.08,1941,5,0.77,93100,112500,132700,39600,263,374,460,197,437,25.8,22.7,14.4,8,1,17.71,63.63,58.07,88.05,89.06,145,211.63,135,197.03,75000,109461.9,517.2,211.6,89.94,99.31,0.69,0,0,0.69,16,8,69,9.1,8027,3.18,75,5500000,93.1,5,11.03,80272,2,2.92,29,42.33,117,170.76,166,242.28,1227,1790.8,0,768,1120.89,14,20.43,458.28,5702.23
1531,17,72600,7,57878,2.79,3.07,91.37,3.55,5.6,17.73,36.43,21.69,11.54,57878,100,38514,81.64,0.62,47.45,24.46,5.3,15.31,45730,16777,17271,11180,11556,13502,8680,10432,3288,6.51,8.94,21.02,26.48,6.05,64.88,19.54,29.09,10.02,30.37,7,49.06,8.91,7.99,3.08,75.53,72.88,86.3,82.08,63.88,72.67,696,2.06,8758,16.85,26.72,33.76,40.71,2.55,4.04,5.11,6.16,81.28,3.12,5.25,3.23,2.42,2.81,2.1,53.22,2.76,57.72,2,995,95.42,45.94,2.21,27.94,1950,1.69,0.59,165600,191100,230700,65100,482,633,800,318,707,25.3,21,13,74,3,15.13,63.39,51.87,75.43,83.34,143,259.58,130,235.98,32989,59882,230.7,259.6,95.85,94.41,4.2,1.4,0,4.9,3,9,74.3,13.2,4399.8,5.88,34,7358580,90.91,0,2.1,133573.8,0,0,10,18.15,24,43.57,217,393.9,450,816.85,0,176,319.48,0,0,455.62,3165.73
285,5,49960,2,28227,2.52,8.08,88.65,1.41,2.8,15.96,33.02,18.56,11.59,28227,100,30534,76.45,0.83,46.51,24.97,9.15,20.36,37427,16358,17118,10426,11969,10783,7817,9853,3228,12.47,5.93,15.88,32.16,5.96,65.27,7.95,28.65,5.71,31.79,9.91,42.44,14.25,12.17,3,64.32,62.75,66.67,61.27,49.97,63.93,873,4.64,1473,20.37,25.12,31.64,37.14,1.06,1.31,1.65,1.94,92.04,0.93,4.5,2.56,2.31,2.41,2.24,43.35,1.45,52.94,2,1898,85.5,41.6,0.95,37.09,1939,3.64,0.25,121100,155000,199000,77900,355,525,668,313,593,27.7,24.4,15.5,41,0,5.22,44.17,41.9,65.93,69.73,91,378.47,83,345.2,49500,205872.59,544,378.5,96.34,92.31,6.59,1.1,0,7.69,7,6,169.2,8.2,3432.9,2.08,21,3692047,91.21,0,7.69,153553.8,1,4.16,16,66.54,49,203.79,219,910.83,499,2075.36,1,84,349.36,43,178.84,1185.33,8754.78
1791,3,61000,9,369879,2.41,25.78,72.13,1.61,0.94,14.56,28.47,16.03,16.14,369879,100,20747,67.59,0.31,39.11,34.54,13.75,18.81,27484,12580,14540,7311,12732,10506,6805,10784,75172,21.42,9.03,27.55,20.12,9.07,50.78,8.49,36.01,10.31,28.24,10.55,42.61,12.59,11.66,3,55.81,52.24,62.44,59.45,51.35,60.59,21464,7.78,16946,21.56,28.9,34.34,37.55,0.99,1.32,1.57,1.72,91.54,0.95,4.68,2.74,2.27,2.52,2.01,57.85,1.95,54.95,2,16676,90.2,52.25,13.33,51.04,1939,2.92,0.58,28400,41200,58500,30100,195,298,395,200,368,28.7,19.2,14.3,693,67,4.58,80.11,60.22,87.29,92.38,232,65.39,228,64.27,9596,2704.8,41.4,65.4,79.46,92.67,7.33,0,0,7.33,20,10,285.9,57.6,6417.5,22.57,115,10175260,98.28,0,8.62,28680.5,80,22.55,226,63.7,2784,784.71,1389,391.51,4611,1299.68,1,6506,1833.81,335,94.42,1262.47,6896.95
